"$submission_id";"$created";"Hvor mange ganger har du tatt eksamen i STK1100 tidligere?";"Hvordan gjennomfører du STK1100 dette semesteret?";"Hvor mange studiepoeng har du til hensikt å ta dette semesteret?";"Hva slags student er du";"I hvilket semester av studieprogrammet er du?";"";"";"";"";"";"";"";"Har du noen andre/utfyllende kommentarer til organiseringen av kurset?";"Kommer på forelesningene";"Kommer på gruppetimene";"Regner ukesoppgavene";"Regner gamle eksamensoppgaver";"Følger med på semestersidene";"";"Er det noe annet du føler har hjulpet deg til å lære i emnet?";"";"";"";"Har du noen andre/utfyllende kommentarer til forelesningene?";"Hva ville gjort gruppeundervisning enda bedre?";"";"";"";"Har du noen andre/utfyllende kommentarer til de obligatoriske oppgavene?";"";"";"Har du noen andre/utfyllende kommentarer til eksamen? Forslag til endringer?";"$answer_time_ms"
"46321761";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"Matematikkprogram";"2";"Svært godt";"Svært vanskelig";"Svært mye";"21&#43;";"Hverken";"Hverken";"Veldig stor";"";"Ofte ";"Aldri ";"Alltid";"Alltid";"Alltid";"Svært bra";"";"Bra";"Svært mye";"Hverken";"";"";"Svært relevant";"Svært vanskelig";"Hverken";"";"Dårlig";"Vanskelig";"";"82841"
"46322071";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Matematikkprogram";"2";"Dårlig";"Svært vanskelig";"Mye";"11 - 15";"Bra";"Dårlig";"Stor";"Syntes det var lite struktur i forelesningene, ble vanskelig å følge med, var lite eksempler og de eksemplene vi fikk var bare kron/mynt eller terningkast som er lett å forstå, men syntes det ikke hjalp noe med ukesoppgaver/eksamen";"Sjelden";"Sjelden";"Alltid";"Alltid";"Alltid";"Hverken";"";"Dårlig";"Hverken";"Hverken";"";"Jeg deltok ikke noe særlig i gruppeundervisningene fordi jeg følte at jeg var mer produktiv på Sylow salen";"Relevant";"Vanskelig";"Hverken";"";"Hverken";"Svært vanskelig";"";"348657"
"46322314";"2026-06-19T00:00:00+02:00";"0";"Følger ikke undervisning, men tar eksamen";"Mer enn 50";"Annet program";"2";"Dårlig";"Svært vanskelig";"Mye";"11 - 15";"Hverken";"Hverken";"Hverken";"";"Aldri ";"Aldri ";"Alltid";"Alltid";"Alltid";"Svært bra";"";"Hverken";"Lite";"Hverken";"";"Klarer godt å lære på egenhånd";"Svært lite relevant";"Svært vanskelig";"Hverken";"Det er fint at lærer er glad i faget og viser mange forskjellige aspekter fra det. Men oblig var ekstremt vanskelig og ikke samme grad som forventes på eksamen. Det var også ofte vanskelig å vite hva som ble spurt om, mye tekst, vær mer konsis.";"Dårlig";"Vanskelig";"Jeg tror hverken denne eksamenen er reliabel eller valid (vil gi andre karakterer om gjort igjen, og ikke representerer fagets kompetansemål). Denne konklusjonen har jeg fra at eksamenen lidet fra konstruktirrelevans, dette betyr at den var ekstremt avhengig av en ferdighet som ikke var meningen skulle måles. I denne eksamenen var det nemlig leseferdigheter. Eksamenen, slik som obligene, var kjempevanskelig å forstå hva som ønskes å finnes. Uklare oppgaver rett og slett. Prøveeksamenen var også mye vanskeligere i matteforståelse, samt inkluderte numeriske oppgaver. Altså var dette ikke en prøveeksamen men eksamensøvelser, som jeg også fant til å være bortkastet tid ettersom eksamenen ikke spurte om det samme til samme grad. Allikevel har jeg jobbet gjennom eldre eksamener som var mye klarere og klarer å svare på disse uten store problem. Dette var ikke tilfellet for avsluttende eksamen. Har til og med vist obliggene og eksamenen til studenter som har fått A i faget før, og de synes også at obliggene er kjempevanskelig og at eksamenen er vanskelig å forstå. Det virker, fra løsningsforslaget, at eksamenen har samme vanskelighetsnivå som tidligere, kanskje litt vanskeligere. Uheldigvis, var spørsmålene så vanskelige å forstå at jeg ikke kunne svare selv om jeg kjente til løsningsmetoden.";"1082291"
"46323904";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"41-50";"Matematikkprogram";"2";"Godt";"Vanskelig";"Passe";"6 - 10";"Svært bra";"Bra";"Stor";"";"Ofte ";"Aldri ";"Sjelden";"Alltid";"Alltid";"Bra";"Ganske enkelt det å snakke med andre om faget, og jobbe med obligene som var svært gode";"Bra";"Svært mye";"Hverken";"";"Jeg foretrekker rett og slett å jobbe med andre folk på sylowsalen /på egen hånd";"Svært relevant";"Passe";"Nyttig";"";"Bra";"Vanskelig";"Vanskelighetsgraden for eksamen vår ikke nødvendigvis for høy, men eksmanen var veldig(altfor) lang";"270336"
"46324066";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"11-20";"Matematikkprogram";"2";"Dårlig";"Svært vanskelig";"Passe";"0 - 5";"Hverken";"Svært dårlig";"Hverken";"";"Ofte ";"Aldri ";"Av og til";"Av og til";"Alltid";"Dårlig";"";"Dårlig";"Svært lite";"Svært dårlig";"";"";"Relevant";"Svært vanskelig";"Hverken";"";"Hverken";"Svært vanskelig";"";"116213"
"46324311";"2026-06-19T00:00:00+02:00";"0";"Følger ikke undervisning, men tar eksamen";"21-30";"Matematikkprogram";"2";"Hverken";"Lett";"Mye";"0 - 5";"Hverken";"";"";"";"Aldri ";"Aldri ";"Aldri ";"Alltid";"Ofte ";"Hverken";"";"";"";"";"";"";"Relevant";"Passe";"";"";"Svært bra";"Passe";"";"280972"
"46325556";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"Matematikkprogram";"2";"Svært dårlig";"Svært vanskelig";"Svært mye";"6 - 10";"Svært dårlig";"Svært dårlig";"Hverken";"";"Sjelden";"Aldri ";"Av og til";"Alltid";"Ofte ";"Dårlig";"Har ikke hjulpet å jobbe med tidligere eksamener pga vanskelighetsgraden til dette emnet i siste semester var betydelig mye høyere enn før.";"Svært dårlig";"Hverken";"Svært dårlig";"";"";"Hverken";"Svært vanskelig";"Hverken";"";"Dårlig";"Svært vanskelig";"";"331228"
"46326688";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"Mer enn 50";"Matematikkprogram";"Er ikke programstudent eller følger ikke vanlig studieprogresjon";"Svært godt";"Svært vanskelig";"Svært mye";"21&#43;";"Svært bra";"Svært bra";"Hverken";"Glitrende kurs & glitrende forelesere (ja, jeg er en av dem, jeg bare går gjennom skjemaet for å se hva man blir spurt om, på hvilken måte).";"Alltid";"Alltid";"Alltid";"Alltid";"Alltid";"Svært bra";"De gode foreleserne.";"Svært bra";"Svært mye";"Svært bra";"De er, som nevnt, utmerkede.";"Man må få studentene på tavlen, og be dem gjennomgå sine løsninger.";"Svært relevant";"Svært vanskelig";"Svært nyttig";"Skuffende få studenter tok obligene med nok alvor. I studietiden skal man helst studere.";"Svært bra";"Svært vanskelig";"Herlige eksamensoppgaver.";"278643"
"46327870";"2026-06-19T00:00:00+02:00";"1";"Følger undervisning og tar eksamen";"31-40";"Matematikkprogram";"2";"Hverken";"Vanskelig";"Mye";"6 - 10";"Hverken";"Dårlig";"Hverken";"Jeg skulle ønske at kurset hadde vært lagt opp litt annerledes på noen områder. For det første opplevde jeg at foreleserne kunne vært mer bevisste på studentenes faglige bakgrunn. Mange av oss kommer ikke fra en statistikkbakgrunn, men har heller erfaring fra analyse og kalkulus. Derfor kunne enkelte temaer med fordel blitt forklart med mer hensyn til dette utgangspunktet.  For det andre skulle jeg ønske at det var tydeligere hva som var mest sentralt i kurset, særlig hvilke teknikker og metoder vi faktisk burde fokusere på. I stedet for å bruke mye tid på mange ulike fordelinger og bevis av identiteter, tror jeg det ville vært mer nyttig å arbeide mer med praktiske teknikker, for eksempel transformasjon av tilfeldige variabler.  Jeg fikk inntrykk av at foreleserne genuint ønsket å hjelpe studentene, men at de ikke alltid forstod hva det var vi slet med å forstå. Kanskje skyldes det at de selv har så sterk faglig kompetanse at det kan være vanskelig å se stoffet fra studentenes perspektiv. Jeg tror flere studenter satt igjen med lignende inntrykk.  Alt i alt synes jeg kurset var svært interessant og ga en unik læringsopplevelse. Samtidig mener jeg at det kunne hatt en tydeligere struktur og bedre avklaring av hva som var viktigst å mestre.";"Ofte ";"Aldri ";"Av og til";"Av og til";"Alltid";"Hverken";"";"Dårlig";"Svært lite";"Hverken";"";"";"Relevant";"Passe";"Nyttig";"Begge de obligatoriske oppgavene var både utfordrende og nyttige; jeg likte dem godt.";"Bra";"Passe";"";"563223"
"46327906";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"Matematikkprogram";"2";"Hverken";"Vanskelig";"Mye";"11 - 15";"Bra";"Dårlig";"Stor";"";"Av og til";"Aldri ";"Sjelden";"Alltid";"Alltid";"Bra";"";"Hverken";"Hverken";"Bra";"";"";"Svært relevant";"Passe";"";"";"Bra";"Vanskelig";"";"249765"
"46329998";"2026-06-20T00:00:00+02:00";"1";"Følger ikke undervisning, men tar eksamen";"41-50";"Matematikkprogram";"6";"Dårlig";"Vanskelig";"Mye";"0 - 5";"Svært bra";"";"";"";"Sjelden";"";"";"Ofte ";"Ofte ";"";"";"";"";"";"Jeg følte at det var litt rotete av og til og at matematisk notasjon på tavle var litt for minimalistisk som gjorde det vanskelig å lese og skjønne i etterkant.";"";"";"";"";"";"Dårlig";"Vanskelig";"Jeg føler at det var et veldig lite pedagogisk eksamen siden den ikke testet hele pensum, hadde dårlig formuleringer slik at det var ikke alltid klart hva målet av oppgaven var, matematisk notasjon var for minimalistisk( manglende parenteser, som er matematisk sett helt fint, men som gjør det vanskelig å skjønne hva er med i forventningene og hva ikke - det kann ikke være så vanskelig å legge til to parenteser). I tillegg følte jeg at 21 oppgaver i 4 timer er ganske mye( under 12 min per hver oppgave), det gir ikke virkelig mulighet til å sette seg in i oppgavene, også når en god del av dem forventer at man kommenterer på det man fant. Altså alt i alt et veldig lite pedagogisk eksamen spesielt når man tenker på at dette skal være innføringsemne i statistikk.";"1760718"
"46330322";"2026-06-20T00:00:00+02:00";"1";"Følger undervisning og tar eksamen";"31-40";"Matematikkprogram";"2";"Svært dårlig";"Vanskelig";"Passe";"6 - 10";"Svært dårlig";"Dårlig";"Stor";"Jeg opplevde at det var et stort gap mellom undervisningen, øvingsoppgavene og den faktiske eksamenen.  Gjennom semesteret fikk jeg inntrykk av at arbeid med tidligere eksamensoppgaver og øvingsoppgaver var en god måte å forberede seg på. På eksamen opplevde jeg derimot at flere oppgaver var formulert og vinklet på en måte som skilte seg betydelig fra det vi hadde øvd på.  Dette gjorde det vanskelig å vite hva som faktisk var forventet av studentene.  Etter min mening testet eksamen i for stor grad evnen til å håndtere nye og uventede problemstillinger, og i mindre grad forståelsen av pensum slik det ble presentert gjennom semesteret.  Dersom eksamensformen skal være såpass annerledes enn tidligere eksamener og øvingsopplegg, burde dette kommuniseres tydeligere til studentene på forhånd.";"Ofte ";"Av og til";"Ofte ";"Ofte ";"Av og til";"Hverken";"";"Dårlig";"Hverken";"Hverken";"";"";"Hverken";"Passe";"Hverken";"";"Svært dårlig";"Svært vanskelig";"Jeg opplevde at eksamen var betydelig vanskeligere enn både øvingsoppgavene og tidligere eksamenssett.  Som student brukte jeg mye tid på å arbeide med tidligere eksamener fordi disse naturlig nok fremstår som den viktigste indikasjonen på forventet nivå og oppgavetype. Derfor opplevdes årets eksamen som overraskende og lite forutsigbar.  Etter min mening var det et stort gap mellom det studentene ble trent på gjennom semesteret og det som faktisk ble testet på eksamen.  Dersom emnet ønsker å legge større vekt på dypere forståelse og nye problemstillinger, bør dette kommuniseres tydeligere og gjenspeiles bedre i undervisning, øvingsopplegg og eksempeloppgaver gjennom semesteret.";"656530"
"46333193";"2026-06-21T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Matematikkprogram";"2";"Dårlig";"Svært vanskelig";"Mye";"6 - 10";"Bra";"Svært dårlig";"Hverken";"";"Alltid";"Av og til";"Av og til";"Aldri ";"Av og til";"Dårlig";"Litt mer oversiktlige forelesninger, enklere, om vi hadde gått ut i fra en pensum bok og lignende type oppgaver";"Dårlig";"Hverken";"Hverken";"Var litt vanskelige forelesningsnotater, litt surr med bok og forelsningsnotater, en del gå gjennom";"";"";"Vanskelig";"";"";"";"Svært vanskelig";"";"8056171"
"46670657";"2026-08-15T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"Geofagprogram";"4";"Godt";"Vanskelig";"Svært mye";"16 - 20";"Bra";"";"";"";"Aldri ";"";"Alltid";"Ofte ";"Alltid";"Svært bra";"";"";"Svært mye";"";"";"";"Relevant";"Svært vanskelig";"Svært lite nyttig";"";"Svært bra";"Passe";"";"247736"
"46720946";"2026-08-19T00:00:00+02:00";"3";"Følger ikke undervisning og tar ikke eksamen";"21-30";"Matematikkprogram";"4";"Svært dårlig";"Svært vanskelig";"Passe";"11 - 15";"Svært dårlig";"Svært dårlig";"Stor";"Har tatt dette emnet før, samt andre stk emner, dette emnet er helt endret og mye vanskeligere, føles ikke som et 1100 emne lenger";"Av og til";"Av og til";"Av og til";"Alltid";"Ofte ";"Svært dårlig";"";"Svært dårlig";"Svært lite";"Svært dårlig";"Forelesningene er mye vanskeligere enn det det har vært tidligere år, med en helt annen vinkling.";"";"Relevant";"Vanskelig";"Nyttig";"";"Hverken";"Vanskelig";"";"191378"
